Pickup_Location,Driver_Not_Found_Count
Hennur,228
Marathahalli,225
Mysore Road,220
Peenya,220
Hosur Road,219
Cox Town,218
Sahakar Nagar,218
Kengeri,217
Nagarbhavi,215
Kammanahalli,215
Majestic,214
Yelahanka,213
HSR Layout,212
Basavanagudi,212
Kadugodi,212
Banashankari,211
Hebbal,211
BTM Layout,209
Bannerghatta Road,209
Chickpet,207
Langford Town,207
Vijayanagar,206
Yeshwanthpur,204
Devanahalli,203
Frazer Town,201
Padmanabhanagar,201
Jayanagar,201
RT Nagar,201
Sarjapur Road,200
Malleshwaram,198
JP Nagar,197
Electronic City,197
Tumkur Road,196
Bellandur,196
Rajajinagar,196
KR Puram,196
Indiranagar,194
Richmond Town,194
MG Road,194
Chamarajpet,193
Varthur,192
Rajarajeshwari Nagar,190
Shantinagar,190
Ulsoor,189
Hulimavu,186
Koramangala,186
Shivajinagar,186
Magadi Road,179
Ramamurthy Nagar,176
Whitefield,170
