Date,Time,Booking_ID,Booking_Status,Customer_ID,Vehicle_Type,Pickup_Location,Drop_Location,V_TAT,C_TAT,Canceled_Rides_by_Customer,Canceled_Rides_by_Driver,Incomplete_Rides,Incomplete_Rides_Reason,Booking_Value,Payment_Method,Ride_Distance,Driver_Ratings,Customer_Rating,Fare_Per_KM
2024-07-28 10:29:00,10:29:00,CNR3491700602,Success,CID247449,Mini,Richmond Town,Langford Town,84.0,145.0,,,No,,2542,UPI,2,"3,5","4,1",1271.0
2024-07-25 11:15:00,11:15:00,CNR4484571820,Success,CID645793,Auto,HSR Layout,Hosur Road,133.0,145.0,,,No,,2388,Cash,4,"4,4","3,6",597.0
2024-07-20 00:11:00,00:11:00,CNR3136784868,Success,CID703583,Prime SUV,Shivajinagar,Indiranagar,63.0,125.0,,,No,,1033,Cash,2,"4,1","3,6",516.5
2024-07-11 08:02:00,08:02:00,CNR4679441912,Success,CID501578,Bike,JP Nagar,Shivajinagar,224.0,130.0,,,No,,2655,Cash,4,"3,1","4,4",663.75
2024-07-01 03:07:00,03:07:00,CNR1647637548,Success,CID801387,Mini,Shivajinagar,Peenya,49.0,75.0,,,No,,615,UPI,1,"4,2","4,9",615.0
2024-07-04 04:33:00,04:33:00,CNR3686926291,Success,CID868427,eBike,Ramamurthy Nagar,MG Road,56.0,45.0,,,No,,2944,Cash,3,"4,6","4,8",981.3333333333334
2024-07-04 18:01:00,18:01:00,CNR1816364514,Success,CID953810,Auto,Varthur,Marathahalli,91.0,30.0,,,No,,809,UPI,1,"3,9","3,4",809.0
2024-07-04 13:43:00,13:43:00,CNR6482129028,Success,CID367560,Prime SUV,Frazer Town,Sarjapur Road,112.0,115.0,,,No,,2109,Cash,2,"3,1","4,5",1054.5
2024-07-17 17:43:00,17:43:00,CNR3096920957,Success,CID738485,Auto,Devanahalli,Indiranagar,280.0,25.0,,,No,,2851,UPI,2,"3,8","3,4",1425.5
2024-07-07 14:17:00,14:17:00,CNR3092594393,Success,CID747844,Bike,Electronic City,Kadugodi,301.0,50.0,,,No,,532,UPI,1,"4,5",3,532.0
2024-07-17 15:48:00,15:48:00,CNR4114636391,Success,CID614929,Prime SUV,Ramamurthy Nagar,Magadi Road,273.0,60.0,,,No,,602,Cash,1,"4,7","3,2",602.0
2024-07-29 20:53:00,20:53:00,CNR7572599002,Success,CID449704,Mini,Basavanagudi,Yelahanka,112.0,40.0,,,No,,2222,Cash,2,"3,5","3,8",1111.0
2024-07-08 00:07:00,00:07:00,CNR9159336322,Success,CID416459,Mini,Tumkur Road,Cox Town,259.0,50.0,,,No,,1941,Cash,2,"3,4","4,4",970.5
2024-07-14 13:28:00,13:28:00,CNR4932216720,Success,CID353074,Prime Plus,Yelahanka,KR Puram,133.0,120.0,,,No,,2841,Cash,4,"3,9","4,5",710.25
2024-07-12 08:21:00,08:21:00,CNR9727132371,Success,CID883613,Mini,Banashankari,Rajajinagar,126.0,120.0,,,No,,1762,Cash,1,5,"4,7",1762.0
2024-07-25 00:32:00,00:32:00,CNR9176692818,Success,CID585812,eBike,Tumkur Road,Chamarajpet,56.0,45.0,,,Yes,Other Issue,506,UPI,1,"3,9","4,2",506.0
2024-07-14 05:24:00,05:24:00,CNR2502459946,Success,CID229895,Auto,Vijayanagar,Magadi Road,273.0,65.0,,,No,,784,UPI,1,"4,3","4,9",784.0
2024-07-05 01:56:00,01:56:00,CNR4532055421,Success,CID728748,Auto,Indiranagar,Banashankari,70.0,110.0,,,No,,2131,UPI,1,4,"3,5",2131.0
2024-07-27 12:58:00,12:58:00,CNR8312972750,Success,CID872275,Prime Sedan,Electronic City,Devanahalli,203.0,140.0,,,No,,582,Cash,1,"4,8","3,2",582.0
2024-07-10 11:27:00,11:27:00,CNR3397571158,Success,CID646417,Prime Sedan,KR Puram,Marathahalli,98.0,140.0,,,No,,2248,Cash,2,4,"4,5",1124.0
2024-07-25 07:24:00,07:24:00,CNR2975379001,Success,CID389331,Mini,Hebbal,Kengeri,224.0,45.0,,,No,,841,Cash,1,5,"4,9",841.0
2024-07-24 01:35:00,01:35:00,CNR3986096355,Success,CID599069,Mini,Peenya,Majestic,133.0,100.0,,,No,,2968,Cash,3,"3,3","4,1",989.3333333333334
2024-07-28 10:32:00,10:32:00,CNR4223028796,Success,CID335024,Prime Plus,Tumkur Road,Chamarajpet,280.0,65.0,,,No,,2776,Cash,5,"3,9","3,3",555.2
2024-07-04 16:36:00,16:36:00,CNR5331834337,Success,CID807183,eBike,Peenya,Yeshwanthpur,196.0,145.0,,,No,,559,UPI,1,"3,8","3,2",559.0
2024-07-14 16:19:00,16:19:00,CNR4739223889,Success,CID569733,Auto,Vijayanagar,Kadugodi,301.0,100.0,,,No,,845,UPI,1,4,"4,4",845.0
2024-07-18 07:10:00,07:10:00,CNR2941995612,Success,CID264951,eBike,Richmond Town,Yelahanka,280.0,35.0,,,No,,818,UPI,1,"4,6","4,6",818.0
2024-07-29 16:46:00,16:46:00,CNR5180141101,Success,CID119847,Auto,Sarjapur Road,Mysore Road,105.0,70.0,,,Yes,Vehicle Breakdown,492,Cash,1,"3,5","3,8",492.0
2024-07-19 23:07:00,23:07:00,CNR2976091323,Success,CID976944,Auto,Mysore Road,Kammanahalli,140.0,40.0,,,No,,2763,Cash,3,"3,6","3,3",921.0
2024-07-08 14:43:00,14:43:00,CNR8392214124,Success,CID850924,Bike,Bellandur,Nagarbhavi,63.0,55.0,,,No,,754,Cash,1,"4,3","3,6",754.0
2024-07-18 13:05:00,13:05:00,CNR7890526538,Success,CID661626,Bike,RT Nagar,Magadi Road,77.0,110.0,,,No,,2503,Cash,2,"3,7","3,9",1251.5
2024-07-18 19:11:00,19:11:00,CNR5734265013,Success,CID445783,Bike,Nagarbhavi,BTM Layout,105.0,115.0,,,No,,2348,UPI,4,5,"3,1",587.0
2024-07-08 14:44:00,14:44:00,CNR7715425123,Success,CID212818,Mini,Ulsoor,Hebbal,63.0,135.0,,,No,,1460,Cash,3,"3,6","4,9",486.6666666666667
2024-07-21 20:23:00,20:23:00,CNR1119482206,Success,CID952437,Prime Sedan,Kammanahalli,HSR Layout,189.0,45.0,,,No,,659,Cash,1,"3,6","4,5",659.0
2024-07-26 09:49:00,09:49:00,CNR5589128211,Success,CID561214,Auto,Electronic City,Hulimavu,259.0,120.0,,,No,,1780,Cash,3,"4,5","4,9",593.3333333333334
2024-07-10 04:53:00,04:53:00,CNR8379038144,Success,CID912134,Mini,Cox Town,Vijayanagar,49.0,50.0,,,No,,915,Cash,1,"4,4","3,9",915.0
2024-07-04 10:44:00,10:44:00,CNR7645293592,Success,CID468004,Bike,Whitefield,Ramamurthy Nagar,273.0,105.0,,,No,,1952,Cash,4,"3,5","4,3",488.0
2024-07-22 20:46:00,20:46:00,CNR2234459363,Success,CID971015,Bike,Varthur,Hulimavu,77.0,50.0,,,No,,2069,Cash,2,"3,8","3,8",1034.5
2024-07-12 18:07:00,18:07:00,CNR2084461852,Success,CID859167,Auto,Richmond Town,Kammanahalli,35.0,45.0,,,No,,2734,Cash,4,"4,6","3,8",683.5
2024-07-21 22:38:00,22:38:00,CNR4488003460,Success,CID137254,Prime SUV,Nagarbhavi,Yeshwanthpur,301.0,30.0,,,No,,2329,UPI,4,"4,9","3,7",582.25
2024-07-07 13:15:00,13:15:00,CNR2989512591,Success,CID537167,Prime Sedan,KR Puram,Koramangala,56.0,100.0,,,No,,2266,UPI,1,"3,3","3,5",2266.0
2024-07-17 07:03:00,07:03:00,CNR5981241712,Success,CID325869,Auto,Magadi Road,Shantinagar,49.0,85.0,,,No,,2360,Cash,2,"3,4","4,3",1180.0
2024-07-20 07:58:00,07:58:00,CNR7330668307,Success,CID689804,Prime Sedan,Cox Town,Tumkur Road,273.0,30.0,,,No,,2361,UPI,4,"4,9","3,4",590.25
2024-07-02 00:35:00,00:35:00,CNR5012898155,Success,CID599154,Prime Sedan,Ulsoor,Malleshwaram,189.0,30.0,,,No,,885,Cash,1,5,"4,3",885.0
2024-07-03 05:40:00,05:40:00,CNR1602223940,Success,CID573395,Auto,Mysore Road,Mysore Road,266.0,70.0,,,No,,2525,Cash,4,3,"3,9",631.25
2024-07-13 03:36:00,03:36:00,CNR1170048627,Success,CID652254,Prime Sedan,Yeshwanthpur,Varthur,119.0,75.0,,,No,,970,Cash,2,"4,3","4,4",485.0
2024-07-08 17:35:00,17:35:00,CNR2132755957,Success,CID298309,Prime SUV,Varthur,Indiranagar,189.0,85.0,,,Yes,Vehicle Breakdown,995,Cash,2,"4,4","3,6",497.5
2024-07-18 04:06:00,04:06:00,CNR7540354655,Success,CID632974,Bike,Hulimavu,Varthur,231.0,65.0,,,No,,1323,Cash,2,"4,8","3,8",661.5
2024-07-25 18:02:00,18:02:00,CNR2510555900,Success,CID684528,Prime Plus,Frazer Town,Malleshwaram,77.0,85.0,,,No,,975,UPI,2,"4,9","3,8",487.5
2024-07-29 16:11:00,16:11:00,CNR4245829562,Success,CID331369,Mini,Tumkur Road,Devanahalli,280.0,130.0,,,No,,1884,Cash,3,3,"4,8",628.0
